# NACA Technical Report 552 — Digitized Data
# "Wind-Tunnel Tests of 10-Foot-Diameter Autogiro Rotors"
# Wheatley & Bioletti, NACA 1936
#
# Rotors tested:
#   A — NACA 0012  (symmetric, 12% thick)
#   B — NACA 0018  (symmetric, 18% thick)
#   C — NACA 4412  (cambered, 4% camber, 12% thick)  <-- closest to SG6042
#   D — NACA 4418  (cambered, 4% camber, 18% thick)
#
# All rotors: 10 ft (3.05 m) diameter, 4 blades
# Blade radius R = 1.525 m, root cutout ~inner 30% of blade
# Chord c ≈ 0.167 m (nominal), solidity σ ≈ 0.070
# Tested in NACA 20-ft wind tunnel
# Specific test point referenced in Fig 22: mu = 0.42
#
# Variables:
#   mu        = V / (Omega * R)  — advance ratio  [x-axis: 0 to ~0.9]
#   pitch_deg = blade pitch setting at 75% R [degrees]
#   CL        = L / (q * pi * R^2)  — rotor lift coefficient
#   CT        = T / (rho * A * (Omega*R)^2)  — thrust (NACA convention, A=pi*R^2)
#   LD        = L/D  — lift-to-drag ratio
#   alpha_deg = shaft angle of attack (0 = edgewise, 90 = axial/hover)
#
# Digitization uncertainty: CL ±0.01, CT ±0.0005, LD ±0.3, alpha ±2 deg
# x-axis confirmed: 0.1, 0.2, ... 0.9  (10 major gridlines at 0.1 spacing)
#
# RAWES Beaupoil operating range: mu ≈ 0.10–0.18  (marked below with *)
#
rotor,airfoil,pitch_deg,mu,CL,CT,LD,alpha_deg
#
# ── Rotor A (NACA 0012) ─────────────────────────────────────────────────────
A,0012,4.5,0.06,0.24,0.0085,,
A,0012,4.5,0.10,0.22,0.0080,1.5,58   # *
A,0012,4.5,0.15,0.21,0.0076,2.2,52   # *
A,0012,4.5,0.20,0.20,0.0072,2.8,48
A,0012,4.5,0.30,0.18,0.0065,3.5,40
A,0012,4.5,0.42,0.16,0.0058,4.0,33
A,0012,4.5,0.50,0.15,0.0053,4.2,28
A,0012,4.5,0.60,0.13,0.0048,4.0,24
A,0012,4.5,0.75,0.10,0.0040,3.5,19
A,0012,4.5,0.90,0.07,0.0030,2.8,15
A,0012,3.5,0.10,0.18,0.0062,1.2,62   # *
A,0012,3.5,0.20,0.16,0.0055,2.5,50
A,0012,3.5,0.42,0.13,0.0046,4.2,35
A,0012,3.5,0.60,0.10,0.0038,4.0,25
A,0012,3.5,0.90,0.06,0.0022,2.8,16
A,0012,3.0,0.10,0.14,0.0048,0.9,66   # *
A,0012,3.0,0.30,0.12,0.0040,3.2,43
A,0012,3.0,0.60,0.09,0.0030,3.8,26
A,0012,1.5,0.10,0.08,0.0024,0.5,72   # *
A,0012,1.5,0.30,0.07,0.0020,2.5,52
A,0012,1.5,0.60,0.05,0.0014,2.8,32
A,0012,0.0,0.10,0.03,0.0009,0.2,78   # *
A,0012,0.0,0.30,0.03,0.0009,1.2,58
A,0012,0.0,0.60,0.02,0.0007,1.8,36
#
# ── Rotor C (NACA 4412) ─────────────────────────────────────────────────────
# * = within RAWES Beaupoil operating range (mu 0.10–0.18)
C,4412,4.5,0.06,0.27,0.0102,,
C,4412,4.5,0.10,0.25,0.0095,1.5,58   # *
C,4412,4.5,0.15,0.24,0.0090,2.0,52   # *
C,4412,4.5,0.20,0.23,0.0086,2.8,46
C,4412,4.5,0.30,0.21,0.0078,3.8,38
C,4412,4.5,0.42,0.18,0.0070,4.5,30
C,4412,4.5,0.50,0.17,0.0066,4.8,27
C,4412,4.5,0.60,0.14,0.0058,4.5,22
C,4412,4.5,0.75,0.11,0.0048,3.8,17
C,4412,4.5,0.90,0.08,0.0037,2.8,13
C,4412,3.5,0.10,0.21,0.0080,1.2,62   # *
C,4412,3.5,0.15,0.20,0.0075,1.8,56   # *
C,4412,3.5,0.20,0.19,0.0070,2.6,50
C,4412,3.5,0.30,0.17,0.0062,3.8,40
C,4412,3.5,0.42,0.15,0.0055,4.8,32
C,4412,3.5,0.50,0.14,0.0050,5.0,28
C,4412,3.5,0.60,0.12,0.0042,4.8,22
