t_s,armed,yaw_rate_dps,target_dps,servo4_pwm,vbat_v,current_a,power_w,kp,ki,kd,imax,h_yaw_trim
0.0007,1,-0.0109,0.0,,,,,0.100000,0.100000,0.000000,0.700000,0.000000
0.1500,1,-0.0245,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
0.4345,1,0.0085,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
0.4354,1,-0.0293,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
0.4360,1,0.0356,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
0.4371,1,-0.0030,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
0.4374,1,-0.0233,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
0.6105,1,0.0112,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
0.6111,1,-0.0386,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
0.7355,1,0.0047,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
0.8417,1,-0.0302,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
0.8424,1,-0.0213,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
0.8866,1,0.0383,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
1.0783,1,-0.0562,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
1.0794,1,0.0177,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
1.1862,1,0.0035,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
1.3105,1,0.0101,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
1.3119,1,-0.0130,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
1.3547,1,-0.0115,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
1.5447,1,0.0118,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
1.5457,1,-0.0533,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
1.6558,1,0.0355,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
1.7679,1,-0.0607,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
1.7687,1,-0.0087,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
1.9681,1,-0.0040,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
1.9690,1,0.0139,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
1.9702,1,-0.0069,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
1.9710,1,-0.0606,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.3398,1,0.0321,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.3407,1,-0.0351,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.3413,1,0.0237,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.3421,1,-0.0216,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.3426,1,0.0048,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.3429,1,0.0062,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.3430,1,-0.0015,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.4512,1,0.0224,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.5350,1,-0.0668,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.5357,1,-0.0195,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.6967,1,-0.0347,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.7275,1,-0.0333,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.8087,1,-0.0428,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.8094,1,-0.0396,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.9213,1,-0.0337,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.9218,1,-0.0150,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
2.9999,1,0.0293,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
3.1524,1,0.0043,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
3.1533,1,-0.0418,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
