# tuning.csv -- written by calibrate.py yawmanual
# run_start_local: 2026-05-13T15:19:42
# run_start_utc: 2026-05-13T13:19:42+00:00
# duration_arg_s: 120.0
# ATC_RAT_YAW_P: 0.05000000074505806
# ATC_RAT_YAW_I: 0.0
# ATC_RAT_YAW_D: 0.0
# ATC_RAT_YAW_IMAX: 0.699999988079071
# H_YAW_TRIM: 0.0
# SERVO4_MIN: 800.0
# SERVO4_MAX: 1100.0
# SERVO4_TRIM: 800.0
# SERVO4_FUNCTION: 0.0
# SCR_USER6: 2.0
# H_TAIL_TYPE: 4.0
#
t_s,armed,yaw_rate_dps,target_dps,servo4_pwm,vbat_v,current_a,power_w,yaw_i_lua,yaw_out_unclamp_lua,kp,ki,kd,imax,h_yaw_trim
0.0006,1,-0.0229,0.0,,,,,,,0.050000,0.000000,0.000000,0.700000,0.000000
0.6949,1,0.0035,0.0,800,15.101,0.100,1.51,0.000000,0.000006,0.050000,0.000000,0.000000,0.700000,0.000000
1.3807,1,-0.0156,0.0,800,15.101,0.100,1.51,0.000000,0.000015,0.050000,0.000000,0.000000,0.700000,0.000000
2.0689,1,-0.0378,0.0,800,15.101,0.100,1.51,0.000000,0.000022,0.050000,0.000000,0.000000,0.700000,0.000000
2.7586,1,0.0315,0.0,800,15.101,0.100,1.51,0.000000,-0.000024,0.050000,0.000000,0.000000,0.700000,0.000000
3.4466,1,-0.0398,0.0,800,15.101,0.100,1.51,0.000000,0.000034,0.050000,0.000000,0.000000,0.700000,0.000000
3.4536,1,0.0241,0.0,800,15.101,0.100,1.51,0.000000,-0.000019,0.050000,0.000000,0.000000,0.700000,0.000000
4.1432,1,0.1491,0.0,800,15.101,0.100,1.51,0.000000,-0.000134,0.050000,0.000000,0.000000,0.700000,0.000000
4.8282,1,-0.0098,0.0,800,15.101,0.100,1.51,0.000000,-0.000053,0.050000,0.000000,0.000000,0.700000,0.000000
5.2905,1,-0.0720,0.0,800,15.101,0.100,1.51,0.000000,0.000075,0.050000,0.000000,0.000000,0.700000,0.000000
5.9999,1,-0.0061,0.0,800,15.101,0.100,1.51,0.000000,0.000004,0.050000,0.000000,0.000000,0.700000,0.000000
6.6892,1,-0.0238,0.0,800,15.101,0.100,1.51,0.000000,0.000064,0.050000,0.000000,0.000000,0.700000,0.000000
7.3787,1,0.0247,0.0,800,15.101,0.100,1.51,0.000000,-0.000030,0.050000,0.000000,0.000000,0.700000,0.000000
8.0640,1,0.0054,0.0,800,15.101,0.100,1.51,0.000000,-0.000008,0.050000,0.000000,0.000000,0.700000,0.000000
8.7538,1,-36.0986,0.0,800,15.101,0.100,1.51,0.000000,0.028535,0.050000,0.000000,0.000000,0.700000,0.000000
8.9680,1,-261.5047,0.0,805,15.101,0.100,1.51,0.000000,0.225472,0.050000,0.000000,0.000000,0.700000,0.000000
10.3611,1,-238.2625,0.0,870,15.101,0.100,1.51,0.000000,0.207138,0.050000,0.000000,0.000000,0.700000,0.000000
10.3735,1,-356.8323,0.0,866,15.101,0.100,1.51,0.000000,0.308668,0.050000,0.000000,0.000000,0.700000,0.000000
11.7410,1,-469.3083,0.0,888,15.101,0.100,1.51,0.000000,0.414962,0.050000,0.000000,0.000000,0.700000,0.000000
12.4306,1,-268.8794,0.0,927,15.101,0.100,1.51,0.000000,0.224087,0.050000,0.000000,0.000000,0.700000,0.000000
13.1223,1,-116.9405,0.0,868,15.101,0.100,1.51,0.000000,0.102613,0.050000,0.000000,0.000000,0.700000,0.000000
13.8128,1,-34.4217,0.0,834,15.101,0.100,1.51,0.000000,0.030255,0.050000,0.000000,0.000000,0.700000,0.000000
14.5037,1,-479.1043,0.0,810,15.101,0.100,1.51,0.000000,0.417021,0.050000,0.000000,0.000000,0.700000,0.000000
15.1915,1,-456.9410,0.0,922,15.101,0.100,1.51,0.000000,0.385592,0.050000,0.000000,0.000000,0.700000,0.000000
15.8800,1,-454.3603,0.0,916,15.101,0.100,1.51,0.000000,0.394338,0.050000,0.000000,0.000000,0.700000,0.000000
16.5716,1,-455.8753,0.0,916,15.101,0.100,1.51,0.000000,0.396785,0.050000,0.000000,0.000000,0.700000,0.000000
17.9427,1,-301.5418,0.0,918,15.101,0.100,1.51,0.000000,0.269754,0.050000,0.000000,0.000000,0.700000,0.000000
18.1603,1,-185.9462,0.0,916,15.101,0.100,1.51,0.000000,0.159652,0.050000,0.000000,0.000000,0.700000,0.000000
19.5893,1,-278.3992,0.0,848,15.101,0.100,1.51,0.000000,0.246181,0.050000,0.000000,0.000000,0.700000,0.000000
20.2780,1,-160.4098,0.0,874,15.101,0.100,1.51,0.000000,0.140661,0.050000,0.000000,0.000000,0.700000,0.000000
20.9760,1,-270.6278,0.0,841,15.101,0.100,1.51,0.000000,0.236516,0.050000,0.000000,0.000000,0.700000,0.000000
21.7790,1,-184.7752,0.0,871,15.101,0.100,1.51,0.000000,0.160607,0.050000,0.000000,0.000000,0.700000,0.000000
22.2871,1,-257.4251,0.0,848,15.101,0.100,1.51,0.000000,0.225572,0.050000,0.000000,0.000000,0.700000,0.000000
23.2291,1,-228.7804,0.0,872,15.101,0.100,1.51,0.000000,0.198021,0.050000,0.000000,0.000000,0.700000,0.000000
24.4268,1,-214.6400,0.0,854,15.101,0.100,1.51,0.000000,0.189696,0.050000,0.000000,0.000000,0.700000,0.000000
25.1181,1,-263.0684,0.0,857,15.101,0.100,1.51,0.000000,0.229742,0.050000,0.000000,0.000000,0.700000,0.000000
25.8097,1,-166.1949,0.0,864,15.101,0.100,1.51,0.000000,0.143021,0.050000,0.000000,0.000000,0.700000,0.000000
26.9632,1,-288.1008,0.0,841,15.101,0.100,1.51,0.000000,0.251547,0.050000,0.000000,0.000000,0.700000,0.000000
28.0035,1,-202.7696,0.0,876,15.101,0.100,1.51,0.000000,0.175453,0.050000,0.000000,0.000000,0.700000,0.000000
28.6918,1,-295.8524,0.0,852,15.101,0.100,1.51,0.000000,0.259136,0.050000,0.000000,0.000000,0.700000,0.000000
29.3826,1,-299.6131,0.0,875,15.101,0.100,1.51,0.000000,0.264415,0.050000,0.000000,0.000000,0.700000,0.000000
30.0767,1,-269.6223,0.0,875,15.101,0.100,1.51,0.000000,0.234975,0.050000,0.000000,0.000000,0.700000,0.000000
31.4468,1,-314.9590,0.0,870,15.101,0.100,1.51,0.000000,0.275406,0.050000,0.000000,0.000000,0.700000,0.000000
32.4894,1,-406.8701,0.0,882,15.101,0.100,1.51,0.000000,0.351520,0.050000,0.000000,0.000000,0.700000,0.000000
33.1813,1,-296.4514,0.0,891,15.101,0.100,1.51,0.000000,0.260804,0.050000,0.000000,0.000000,0.700000,0.000000
34.1100,1,-197.6164,0.0,879,15.101,0.100,1.51,0.000000,0.173556,0.050000,0.000000,0.000000,0.700000,0.000000
34.7996,1,-273.5747,0.0,854,15.101,0.100,1.51,0.000000,0.239897,0.050000,0.000000,0.000000,0.700000,0.000000
